as_tags,type
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'DT', 'NN', '.']",present simple
"['PRP', 'VBZ', 'IN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'NN', 'RB', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'RB', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'RB', '.']",present simple
"['PRP', 'VBZ', 'NN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'IN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'NN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'NN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'RB', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'CD', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'VBN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'VBN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'NNP', '.']",present simple
"['PRP', 'VBZ', 'RB', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'IN', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RP', 'RB', '.']",present simple
"['PRP', 'VBZ', 'IN', 'RB', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'RB', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'RB', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'NN', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'RB', '.']",present simple
"['PRP', 'VBZ', 'JJ', 'RB', '.']",present simple
"['PRP', 'VBZ', 'JJR', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'NN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'IN', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'RB', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'RB', 'JJ', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['PRP', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['RB', 'RB', 'RB', '.']",present simple
"['RB', 'VB', 'JJ', '.']",present simple
"['RB', 'VB', 'JJ', '.']",present simple
"['RB', 'VB', 'JJ', '.']",present simple
"['RB', 'VB', 'JJ', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'RP', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VBP', 'DT', '.']",present simple
"['RB', 'VBP', 'RB', 'VB', '.']",present simple
"['RB', 'VBP', 'RB', 'VB', '.']",present simple
"['RB', 'VBP', 'RB', 'VB', '.']",present simple
"['RB', 'VBP', 'RB', 'VB', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VB', 'VBN', '.']",present simple
"['RB', 'VB', 'IN', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'RP', '.']",present simple
"['RB', 'VB', 'RP', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VB', 'NN', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'NN', 'IN', '.']",present simple
"['RB', 'VB', 'NN', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'IN', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'NN', 'PRP', '.']",present simple
"['RB', 'VB', 'RP', '.']",present simple
"['RB', 'NN', 'IN', '.']",present simple
"['RB', 'NN', 'IN', '.']",present simple
"['RB', 'VB', 'NN', '.']",present simple
"['RB', 'VB', 'VBG', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'NN', '.']",present simple
"['RB', 'VB', 'VB', '.']",present simple
"['RB', 'NN', 'RB', '.']",present simple
"['RB', 'NN', 'RP', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VB', 'NN', '.']",present simple
"['RB', 'VB', 'RP', '.']",present simple
"['RB', 'VBN', 'RP', '.']",present simple
"['RB', 'NN', 'DT', '.']",present simple
"['RB', 'NN', 'RB', '.']",present simple
"['RB', 'NN', 'NN', '.']",present simple
"['RB', 'VB', 'RP', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VB', 'RP', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VB', 'NNS', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VB', 'JJ', '.']",present simple
"['RB', 'NN', 'RB', '.']",present simple
"['RB', 'NN', 'VBD', '.']",present simple
"['RB', 'VB', 'JJ', '.']",present simple
"['RB', 'NN', 'RB', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'NN', 'RB', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'DT', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'NN', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'RP', '.']",present simple
"['RB', 'NN', 'RB', '.']",present simple
"['RB', 'NN', 'RB', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'NN', 'DT', '.']",present simple
"['RB', 'NN', 'RB', '.']",present simple
"['VB', 'PRP', 'JJ', '.']",present simple
"['VB', 'PRP', 'JJ', '.']",present simple
"['VB', 'PRP', 'JJ', '.']",present simple
"['VB', 'PRP', 'JJ', '.']",present simple
"['VB', 'IN', 'VBG', '.']",present simple
"['VB', 'DT', 'NNS', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP$', 'NNS', '.']",present simple
"['VB', 'PRP', 'RP', '.']",present simple
"['NNP', 'IN', 'NN', '.']",present simple
"['NN', 'IN', 'PRP', '.']",present simple
"['VB', 'PRP', 'RB', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'VB', '.']",present simple
"['VB', 'PRP', 'VB', '.']",present simple
"['VB', 'PRP', 'RP', '.']",present simple
"['VB', 'PRP', 'NN', '.']",present simple
"['VB', 'PRP', 'VB', '.']",present simple
"['VB', 'PRP', 'VB', '.']",present simple
"['VB', 'PRP', 'RP', '.']",present simple
"['NNP', 'RB', 'RB', '.']",present simple
"['NN', 'PRP', 'RP', '.']",present simple
"['NNP', 'DT', 'NN', '.']",present simple
"['NNP', 'PRP$', 'NN', '.']",present simple
"['NNP', 'PRP$', 'NNS', '.']",present simple
"['NN', 'IN', 'PRP', '.']",present simple
"['NN', 'IN', 'DT', '.']",present simple
"['NN', 'IN', 'DT', '.']",present simple
"['NN', 'IN', 'DT', '.']",present simple
"['NN', 'IN', 'PRP', '.']",present simple
"['NN', 'IN', 'NNS', '.']",present simple
"['NN', 'IN', 'PRP', '.']",present simple
"['NN', 'IN', 'RB', '.']",present simple
"['VB', 'PRP', 'RP', '.']",present simple
"['VB', 'PRP', 'RP', '.']",present simple
"['VB', 'RP', 'RB', '.']",present simple
"['NN', 'IN', 'RB', '.']",present simple
"['NN', 'IN', 'RB', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'RP', 'RB', '.']",present simple
"['NNP', 'WP', 'VBZ', 'NN', '.']",present simple
"['NNP', 'WP', 'VBZ', 'RB', '.']",present simple
"['NNP', 'WP', 'VBZ', 'RP', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['NNP', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['NNP', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'JJ', '.']",present simple
"['VB', 'PRP', 'VB', '.']",present simple
"['VB', 'PRP', 'JJ', '.']",present simple
"['VB', 'PRP', 'JJ', '.']",present simple
"['VB', 'PRP', 'VB', '.']",present simple
"['NNP', 'PRP', 'RB', '.']",present simple
"['NNP', 'PRP', 'VBD', '.']",present simple
"['RB', 'VBP', 'IN', '.']",present simple
"['DT', 'NN', 'POS', 'IN', '.']",present simple
"['NN', 'VBZ', 'PRP', '.']",present simple
"['NN', 'VBZ', 'PRP', '.']",present simple
"['NN', 'VBZ', 'JJ', '.']",present simple
"['NN', 'VBZ', 'PRP', '.']",present simple
"['NN', 'VBZ', 'JJ', '.']",present simple
"['NN', 'VBZ', 'JJ', '.']",present simple
"['NN', 'VBZ', 'JJ', '.']",present simple
"['RB', 'RB', 'RB', '.']",present simple
"['RB', 'VB', 'NN', '.']",present simple
"['RB', 'VB', 'JJ', '.']",present simple
"['RB', 'VBZ', 'PRP', '.']",present simple
"['RB', 'VBZ', 'RP', '.']",present simple
"['RB', 'VBN', 'RP', '.']",present simple
"['RB', 'VBP', 'RB', 'VB', '.']",present simple
"['RB', 'VBP', 'RB', 'VB', '.']",present simple
"['RB', 'VBZ', 'RP', '.']",present simple
"['RB', 'VBZ', 'IN', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'VBG', '.']",present simple
"['RB', 'VB', 'IN', '.']",present simple
"['RB', 'VB', 'VBN', '.']",present simple
"['RB', 'VB', 'VBG', '.']",present simple
"['RB', 'VB', 'RP', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VBP', 'RB', '.']",present simple
"['RB', 'VBP', 'NN', '.']",present simple
"['RB', 'VBP', 'NN', '.']",present simple
"['RB', 'VBP', 'NN', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VBP', 'IN', '.']",present simple
"['RB', 'PRP', 'VBP', 'JJ', '.']",present simple
"['RB', 'PRP', 'VBP', 'JJ', '.']",present simple
"['RB', 'PRP', 'VBP', 'JJ', '.']",present simple
"['RB', 'PRP', 'VBP', 'JJ', '.']",present simple
"['RB', 'PRP', 'VBP', 'JJ', '.']",present simple
"['RB', 'PRP', 'VBZ', 'RP', '.']",present simple
"['RB', 'PRP', 'VBZ', 'JJ', '.']",present simple
"['RB', 'RB', 'NN', '.']",present simple
"['RB', 'VB', 'NN', '.']",present simple
"['RB', 'VBP', 'PRP', '.']",present simple
"['RB', 'VBP', 'PRP', '.']",present simple
"['RB', 'VB', 'VB', '.']",present simple
"['RB', 'VBZ', 'RP', '.']",present simple
"['RB', 'VBZ', 'RB', '.']",present simple
"['RB', 'VBZ', 'RB', '.']",present simple
"['RB', 'VBP', 'RB', '.']",present simple
"['RB', 'VBP', 'IN', '.']",present simple
"['RB', 'NN', 'IN', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VB', 'RP', '.']",present simple
"['RB', 'VBN', 'RP', '.']",present simple
"['RB', 'VBP', 'RP', '.']",present simple
"['RB', 'VBP', 'RB', '.']",present simple
"['RB', 'VBP', 'RB', '.']",present simple
"['RB', 'VBZ', 'VBN', '.']",present simple
"['RB', 'VBP', 'RB', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VBZ', 'IN', '.']",present simple
"['RB', 'VB', 'RB', '.']",present simple
"['RB', 'VB', 'PRP', '.']",present simple
"['RB', 'VB', 'DT', '.']",present simple
"['RB', 'VBP', 'RP', '.']",present simple
"['RB', 'VBP', 'DT', '.']",present simple
"['RB', 'PRP', 'VBP', 'RB', '.']",present simple
"['RB', 'VBZ', 'PRP$', 'NN', '.']",present simple
"['RB', 'VBZ', 'RB', 'RB', '.']",present simple
"['CD', 'VBZ', 'JJ', '.']",present simple
"['CD', 'VBD', 'JJ', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NNS', '.']",present simple
"['VB', 'DT', 'NNS', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NNS', '.']",present simple
"['JJ', 'DT', 'NNS', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'PRP$', 'NNS', '.']",present simple
"['NNP', 'DT', 'NN', '.']",present simple
"['NNP', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['NNP', 'PRP', 'RP', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['NN', 'DT', 'IN', '.']",present simple
"['NN', 'IN', 'PRP', '.']",present simple
"['NNP', 'IN', 'NN', '.']",present simple
"['NNP', 'TO', 'VB', '.']",present simple
"['VB', 'PRP', 'RP', '.']",present simple
"['VB', 'PRP', 'IN', '.']",present simple
"['VB', 'PRP', 'RP', '.']",present simple
"['VB', 'PRP', 'IN', '.']",present simple
"['VB', 'PRP', 'RP', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'RB', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'PRP', 'RB', '.']",present simple
"['VB', 'DT', 'RB', '.']",present simple
"['VBD', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'RP', '.']",present simple
"['VB', 'DT', 'IN', '.']",present simple
"['NN', 'VBG', 'PRP', '.']",present simple
"['VB', 'PRP', 'RB', '.']",present simple
"['VB', 'PRP', 'RBR', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['NN', 'IN', 'RB', '.']",present simple
"['NN', 'IN', 'PRP', '.']",present simple
"['VBG', 'DT', 'NN', '.']",present simple
"['NNP', 'DT', 'NN', '.']",present simple
"['NNP', 'CC', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP', 'RB', '.']",present simple
"['NNP', 'PRP', 'VBP', 'JJ', '.']",present simple
"['NNP', 'VBZ', 'RP', '.']",present simple
"['NNP', 'VBZ', 'IN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['NN', 'DT', 'NN', '.']",present simple
"['NNP', 'DT', 'NN', '.']",present simple
"['NNP', 'PRP', 'RB', '.']",present simple
"['VB', 'PRP', 'WRB', '.']",present simple
"['VB', 'PRP', 'RBR', '.']",present simple
"['VB', 'PRP', 'RP', '.']",present simple
"['VB', 'PRP', 'RP', '.']",present simple
"['NNP', 'DT', 'NN', '.']",present simple
"['NNP', 'DT', 'NNS', '.']",present simple
"['NNP', 'DT', 'NN', '.']",present simple
"['NNP', 'DT', 'NN', '.']",present simple
"['NNP', 'DT', 'NN', '.']",present simple
"['NNP', 'DT', 'NNS', '.']",present simple
"['VBG', 'IN', 'PRP', '.']",present simple
"['NNP', 'RB', 'RB', '.']",present simple
"['NN', 'IN', 'PRP', '.']",present simple
"['NNP', 'RB', 'RB', '.']",present simple
"['NNP', 'RB', 'RB', '.']",present simple
"['RB', 'RB', 'RB', '.']",present simple
"['NN', 'IN', 'PRP', '.']",present simple
"['NN', 'VB', 'PRP', '.']",present simple
"['NN', 'VBZ', 'JJ', '.']",present simple
"['NNP', 'IN', 'PRP', '.']",present simple
"['NN', 'TO', 'PRP', '.']",present simple
"['NN', 'VBZ', 'RB', 'NN', '.']",present simple
"['NN', 'PRP', 'RP', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['NNP', 'IN', 'NN', '.']",present simple
"['NN', 'IN', 'RB', '.']",present simple
"['NNP', 'CC', 'NN', '.']",present simple
"['NNP', 'IN', 'PRP', '.']",present simple
"['NNP', 'IN', 'NN', '.']",present simple
"['NNP', 'IN', 'NN', '.']",present simple
"['NNP', 'IN', 'NN', '.']",present simple
"['NNP', 'RB', 'RB', '.']",present simple
"['VB', 'RB', 'RB', '.']",present simple
"['VB', 'RB', 'RB', '.']",present simple
"['NNP', 'VBG', 'PRP', '.']",present simple
"['NNP', 'VBG', 'PRP', '.']",present simple
"['NNP', 'VBG', 'PRP', '.']",present simple
"['VB', 'PRP', 'RB', '.']",present simple
"['NNP', 'VBG', 'PRP', '.']",present simple
"['NNP', 'NN', 'NNS', '.']",present simple
"['NNP', 'VBG', 'PRP', '.']",present simple
"['RB', 'NN', 'RB', '.']",present simple
"['NNP', 'VBG', 'IN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'RB', '.']",present simple
"['VB', 'DT', 'RB', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['NNP', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['NNP', 'VBG', 'PRP', '.']",present simple
"['VB', 'PRP', 'RP', '.']",present simple
"['VB', 'PRP', 'IN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'DT', 'NN', '.']",present simple
"['VB', 'JJ', 'NNS', '.']",present simple
"['VB', 'PRP', 'DT', '.']",present simple
"['VB', 'PRP', 'RB', '.']",present simple
"['VB', 'PRP', 'RP', '.']",present simple
"['VB', 'PRP', 'NN', '.']",present simple
"['VB', 'PRP', 'RB', '.']",present simple
"['VB', 'PRP', 'PRP', '.']",present simple
"['VB', 'PRP', 'RB', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
"['VB', 'PRP$', 'NN', '.']",present simple
